Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,25,Sun,2024-10-20,17:00,Kristiansund,0–0,Strømsgodset,3108,Nordmøre Stadion,Marius Lien,Match Report,
Eliteserien,25,Sun,2024-10-20,17:00,HamKam,0–2,Sarpsborg 08,4155,Briskeby Arena,Daniel Higraff,Match Report,
Eliteserien,25,Sun,2024-10-20,17:00,Viking,3–3,Odd,13244,SR-Bank Arena,Marius Grøtta,Match Report,
Eliteserien,25,Sun,2024-10-20,17:00,KFUM Oslo,0–0,Haugesund,1930,KFUM Arena,Mathias Støfringshaug,Match Report,
Eliteserien,25,Sun,2024-10-20,19:15,Fredrikstad,2–1,Lillestrøm,10906,Nye Fredrikstad Stadion,Sivert Øksnes Amland,Match Report,
,,,,,,,,,,,,
Eliteserien,26,Sat,2024-10-26,18:00,Strømsgodset,2–0,Fredrikstad,4604,Marienlyst Stadion,Daniel Higraff,Match Report,
Eliteserien,26,Sun,2024-10-27,17:00,HamKam,1–0,Kristiansund,3134,Briskeby Arena,Svein Sinnes,Match Report,
Eliteserien,26,Sun,2024-10-27,17:00,Sarpsborg 08,1–2,Viking,4793,Sarpsborg Stadion,Kristoffer Hagenes,Match Report,
Eliteserien,26,Sun,2024-10-27,17:00,Sandefjord,2–1,KFUM Oslo,3543,Jotun Arena,Sigurd Smehus Kringstad,Match Report,
Eliteserien,26,Sun,2024-10-27,17:00,Lillestrøm,3–0,Odd,7046,Åråsen Stadion,Tore Hansen,Match Report,
Eliteserien,26,Sun,2024-10-27,17:00,Haugesund,0–3,Molde,3802,Haugesund Stadion,Sivert Øksnes Amland,Match Report,
