Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
23,Sat,2027-02-27,,Standard Liège,,Gent,,Stade Maurice Dufrasne,,Head-to-Head,
23,Sat,2027-02-27,,Genk,,Union SG,,Cegeka Arena,,Head-to-Head,
23,Sat,2027-02-27,,Westerlo,,Mechelen,,Het Kuipje,,Head-to-Head,
,,,,,,,,,,,
24,Sat,2027-03-06,,Sint-Truiden,,Antwerp,,Daio Wasabi Stayen Stadium,,Head-to-Head,
24,Sat,2027-03-06,,OH Leuven,,Genk,,King Power at Den Dreef Stadion,,Head-to-Head,
24,Sat,2027-03-06,,Union SG,,Standard Liège,,Stade Joseph Mariën,,Head-to-Head,
24,Sat,2027-03-06,,La Louvière,,Lommel,,Easi Arena,,Head-to-Head,
24,Sat,2027-03-06,,Club Brugge,,Beveren,,Jan Breydelstadion,,Head-to-Head,
24,Sat,2027-03-06,,Mechelen,,Kortrijk,,AFAS Stadion,,Head-to-Head,
24,Sat,2027-03-06,,Zulte Waregem,,Cercle Brugge,,Elindus Arena,,Head-to-Head,
24,Sat,2027-03-06,,Westerlo,,Anderlecht,,Het Kuipje,,Head-to-Head,
24,Sat,2027-03-06,,Gent,,Charleroi,,Planet Group Arena,,Head-to-Head,
,,,,,,,,,,,
25,Sat,2027-03-13,,Anderlecht,,Lommel,,Lotto Park,,Head-to-Head,
25,Sat,2027-03-13,,Cercle Brugge,,Union SG,,Jan Breydelstadion,,Head-to-Head,
25,Sat,2027-03-13,,Gent,,Zulte Waregem,,Planet Group Arena,,Head-to-Head,
25,Sat,2027-03-13,,Standard Liège,,Mechelen,,Stade Maurice Dufrasne,,Head-to-Head,
25,Sat,2027-03-13,,Antwerp,,La Louvière,,Bosuilstadion,,Head-to-Head,
25,Sat,2027-03-13,,Charleroi,,Club Brugge,,Stade du Pays de Charleroi,,Head-to-Head,
25,Sat,2027-03-13,,Beveren,,Westerlo,,,,Head-to-Head,
25,Sat,2027-03-13,,Kortrijk,,OH Leuven,,,,Head-to-Head,
25,Sat,2027-03-13,,Genk,,Sint-Truiden,,Cegeka Arena,,Head-to-Head,
,,,,,,,,,,,
26,Sat,2027-03-20,,Zulte Waregem,,Kortrijk,,Elindus Arena,,Head-to-Head,
26,Sat,2027-03-20,,La Louvière,,Genk,,Easi Arena,,Head-to-Head,
26,Sat,2027-03-20,,Club Brugge,,Gent,,Jan Breydelstadion,,Head-to-Head,
26,Sat,2027-03-20,,Anderlecht,,Standard Liège,,Lotto Park,,Head-to-Head,
26,Sat,2027-03-20,,Sint-Truiden,,Beveren,,Daio Wasabi Stayen Stadium,,Head-to-Head,
26,Sat,2027-03-20,,OH Leuven,,Union SG,,King Power at Den Dreef Stadion,,Head-to-Head,
26,Sat,2027-03-20,,Lommel,,Antwerp,,Soevereinstadion,,Head-to-Head,
26,Sat,2027-03-20,,Westerlo,,Cercle Brugge,,Het Kuipje,,Head-to-Head,
26,Sat,2027-03-20,,Mechelen,,Charleroi,,AFAS Stadion,,Head-to-Head,
,,,,,,,,,,,
27,Sat,2027-04-03,,Standard Liège,,Sint-Truiden,,Stade Maurice Dufrasne,,Head-to-Head,
27,Sat,2027-04-03,,Genk,,Anderlecht,,Cegeka Arena,,Head-to-Head,
27,Sat,2027-04-03,,Charleroi,,Lommel,,Stade du Pays de Charleroi,,Head-to-Head,
27,Sat,2027-04-03,,Kortrijk,,Club Brugge,,,,Head-to-Head,
27,Sat,2027-04-03,,Gent,,Westerlo,,Planet Group Arena,,Head-to-Head,
27,Sat,2027-04-03,,Union SG,,Mechelen,,Stade Joseph Mariën,,Head-to-Head,
27,Sat,2027-04-03,,OH Leuven,,Zulte Waregem,,King Power at Den Dreef Stadion,,Head-to-Head,
27,Sat,2027-04-03,,Cercle Brugge,,La Louvière,,Jan Breydelstadion,,Head-to-Head,
27,Sat,2027-04-03,,Beveren,,Antwerp,,,,Head-to-Head,
,,,,,,,,,,,
28,Sat,2027-04-10,,Mechelen,,Gent,,AFAS Stadion,,Head-to-Head,
28,Sat,2027-04-10,,Club Brugge,,OH Leuven,,Jan Breydelstadion,,Head-to-Head,
28,Sat,2027-04-10,,Anderlecht,,Beveren,,Lotto Park,,Head-to-Head,
28,Sat,2027-04-10,,Sint-Truiden,,Charleroi,,Daio Wasabi Stayen Stadium,,Head-to-Head,
28,Sat,2027-04-10,,Lommel,,Genk,,Soevereinstadion,,Head-to-Head,
28,Sat,2027-04-10,,La Louvière,,Union SG,,Easi Arena,,Head-to-Head,
28,Sat,2027-04-10,,Zulte Waregem,,Westerlo,,Elindus Arena,,Head-to-Head,
28,Sat,2027-04-10,,Antwerp,,Cercle Brugge,,Bosuilstadion,,Head-to-Head,
28,Sat,2027-04-10,,Kortrijk,,Standard Liège,,,,Head-to-Head,
,,,,,,,,,,,
29,Sat,2027-04-17,,Westerlo,,Sint-Truiden,,Het Kuipje,,Head-to-Head,
29,Sat,2027-04-17,,Union SG,,Antwerp,,Stade Joseph Mariën,,Head-to-Head,
29,Sat,2027-04-17,,Beveren,,Zulte Waregem,,,,Head-to-Head,
29,Sat,2027-04-17,,Genk,,Club Brugge,,Cegeka Arena,,Head-to-Head,
29,Sat,2027-04-17,,Gent,,Lommel,,Planet Group Arena,,Head-to-Head,
29,Sat,2027-04-17,,Mechelen,,La Louvière,,AFAS Stadion,,Head-to-Head,
29,Sat,2027-04-17,,Cercle Brugge,,Kortrijk,,Jan Breydelstadion,,Head-to-Head,
29,Sat,2027-04-17,,Standard Liège,,OH Leuven,,Stade Maurice Dufrasne,,Head-to-Head,
29,Sat,2027-04-17,,Charleroi,,Anderlecht,,Stade du Pays de Charleroi,,Head-to-Head,
,,,,,,,,,,,
30,Sat,2027-04-24,,Genk,,Charleroi,,Cegeka Arena,,Head-to-Head,
30,Sat,2027-04-24,,Lommel,,Sint-Truiden,,Soevereinstadion,,Head-to-Head,
