Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
25,Sat,2027-03-06,,Stuttgart,,Leverkusen,,MHPArena,,Head-to-Head,
25,Sat,2027-03-06,,Hamburger SV,,Frankfurt,,Volksparkstadion,,Head-to-Head,
,,,,,,,,,,,
26,Sat,2027-03-13,,Augsburg,,RB Leipzig,,WWK Arena,,Head-to-Head,
26,Sat,2027-03-13,,Bayern Munich,,Mainz 05,,Allianz Arena,,Head-to-Head,
26,Sat,2027-03-13,,Leverkusen,,Köln,,BayArena,,Head-to-Head,
26,Sat,2027-03-13,,Schalke 04,,Hoffenheim,,Veltins-Arena,,Head-to-Head,
26,Sat,2027-03-13,,Union Berlin,,Freiburg,,Stadion An der Alten Försterei,,Head-to-Head,
26,Sat,2027-03-13,,Gladbach,,Hamburger SV,,Stadion im Borussia-Park,,Head-to-Head,
26,Sat,2027-03-13,,Werder Bremen,,Stuttgart,,Weserstadion,,Head-to-Head,
26,Sat,2027-03-13,,Frankfurt,,Paderborn 07,,Deutsche Bank Park,,Head-to-Head,
26,Sat,2027-03-13,,Elversberg,,Dortmund,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
,,,,,,,,,,,
27,Sat,2027-03-20,,Hoffenheim,,Frankfurt,,PreZero Arena,,Head-to-Head,
27,Sat,2027-03-20,,RB Leipzig,,Union Berlin,,Red Bull Arena,,Head-to-Head,
27,Sat,2027-03-20,,Mainz 05,,Augsburg,,Mewa Arena,,Head-to-Head,
27,Sat,2027-03-20,,Dortmund,,Gladbach,,Signal Iduna Park,,Head-to-Head,
27,Sat,2027-03-20,,Freiburg,,Elversberg,,Europa-Park Stadion,,Head-to-Head,
27,Sat,2027-03-20,,Paderborn 07,,Leverkusen,,Home Deluxe Arena,,Head-to-Head,
27,Sat,2027-03-20,,Stuttgart,,Schalke 04,,MHPArena,,Head-to-Head,
27,Sat,2027-03-20,,Köln,,Bayern Munich,,RheinEnergieSTADION,,Head-to-Head,
27,Sat,2027-03-20,,Hamburger SV,,Werder Bremen,,Volksparkstadion,,Head-to-Head,
,,,,,,,,,,,
28,Sat,2027-04-03,,Frankfurt,,Stuttgart,,Deutsche Bank Park,,Head-to-Head,
28,Sat,2027-04-03,,Union Berlin,,Mainz 05,,Stadion An der Alten Försterei,,Head-to-Head,
28,Sat,2027-04-03,,RB Leipzig,,Freiburg,,Red Bull Arena,,Head-to-Head,
28,Sat,2027-04-03,,Bayern Munich,,Hamburger SV,,Allianz Arena,,Head-to-Head,
28,Sat,2027-04-03,,Gladbach,,Werder Bremen,,Stadion im Borussia-Park,,Head-to-Head,
28,Sat,2027-04-03,,Leverkusen,,Dortmund,,BayArena,,Head-to-Head,
28,Sat,2027-04-03,,Augsburg,,Hoffenheim,,WWK Arena,,Head-to-Head,
28,Sat,2027-04-03,,Schalke 04,,Paderborn 07,,Veltins-Arena,,Head-to-Head,
28,Sat,2027-04-03,,Elversberg,,Köln,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
,,,,,,,,,,,
29,Sat,2027-04-10,,Dortmund,,Schalke 04,,Signal Iduna Park,,Head-to-Head,
29,Sat,2027-04-10,,Hamburger SV,,Union Berlin,,Volksparkstadion,,Head-to-Head,
29,Sat,2027-04-10,,Werder Bremen,,Frankfurt,,Weserstadion,,Head-to-Head,
29,Sat,2027-04-10,,Köln,,Augsburg,,RheinEnergieSTADION,,Head-to-Head,
29,Sat,2027-04-10,,Hoffenheim,,Freiburg,,PreZero Arena,,Head-to-Head,
29,Sat,2027-04-10,,Paderborn 07,,Bayern Munich,,Home Deluxe Arena,,Head-to-Head,
29,Sat,2027-04-10,,Stuttgart,,Elversberg,,MHPArena,,Head-to-Head,
29,Sat,2027-04-10,,Mainz 05,,RB Leipzig,,Mewa Arena,,Head-to-Head,
